participant,age,sex,participantNum
714,25,1,714
718,24,2,718
719,40,2,719
720,21,1,720
721,24,2,721
722,28,1,722
724,43,2,724
725,24,1,725
727,20,1,727
728,18,2,728
730,19,2,730
732,37,2,732
733,34,2,733
735,21,1,735
736,31,1,736
737,18,2,737
738,22,1,738
739,34,1,739
740,22,2,740
741,18,2,741
743,37,2,743
745,28,2,745
748,56,2,748
749,19,1,749
752,22,1,752
754,21,2,754
755,29,2,755
757,34,1,757
759,19,1,759
760,30,2,760
764,27,2,764
765,34,2,765
766,18,2,766
769,34,2,769
771,21,2,771
772,29,2,772
773,20,1,773
774,28,2,774
775,19,2,775
776,32,1,776
777,50,1,777
778,37,1,778
779,33,1,779
780,25,1,780
781,31,2,781
782,49,2,782
783,44,2,783
784,35,2,784
786,51,1,786
787,20,2,787
788,17,2,788
789,25,2,789
791,40,2,791
793,30,2,793
794,40,2,794
797,27,2,797
798,23,2,798
800,38,2,800
801,33,2,801
803,27,1,803
804,33,2,804
805,21,1,805
808,35,1,808
812,37,2,812
813,38,2,813
814,20,1,814
815,35,1,815
816,19,2,816
817,51,2,817
819,23,2,819
820,36,2,820
821,36,2,821
823,19,2,823
824,27,1,824
825,26,1,825
828,23,1,828
830,51,1,830
832,21,1,832
834,21,2,834
835,49,2,835
836,36,2,836
837,26,1,837
838,25,2,838
839,22,1,839
842,25,1,842
844,36,2,844
847,33,2,847
848,35,2,848
849,19,1,849
850,26,2,850
852,36,2,852
853,24,2,853
854,48,2,854
855,33,2,855
856,42,2,856
857,25,2,857
859,24,1,859
860,24,2,860
861,40,2,861
862,29,2,862
863,29,1,863
864,49,2,864
867,33,1,867
868,28,2,868
869,29,1,869
871,37,1,871
872,33,2,872
875,21,2,875
876,25,2,876
877,49,2,877
878,19,1,878
879,37,1,879
881,30,2,881
882,21,2,882
884,30,2,884
885,27,1,885
886,39,2,886
888,47,2,888
890,26,2,890
892,39,2,892
893,25,1,893
894,33,1,894
895,22,2,895
898,21,1,898
900,34,1,900
902,42,2,902
903,28,1,903
905,48,2,905
906,43,1,906
908,38,2,908
909,66,2,909
911,25,2,911
912,22,2,912
915,25,2,915
916,29,2,916
917,47,1,917
920,30,1,920
921,22,1,921
922,28,1,922
923,53,2,923
924,18,1,924
926,23,1,926
927,23,2,927
930,20,2,930
931,23,2,931
932,36,2,932
933,22,1,933
934,31,4,934
935,31,1,935
937,53,2,937
939,27,2,939
941,24,2,941
942,28,1,942
943,23,2,943
944,21,1,944
945,20,2,945
946,30,2,946
948,20,2,948
949,45,2,949
950,19,2,950
953,25,2,953
954,23,1,954
955,25,1,955
956,20,2,956
957,28,2,957
959,18,1,959
960,34,2,960
962,24,1,962
964,30,2,964
965,32,1,965
966,27,1,966
969,21,2,969
970,46,2,970
972,19,2,972
973,39,2,973
974,32,1,974
976,30,2,976
977,23,2,977
978,33,1,978
979,37,2,979
981,19,1,981
982,47,2,982
984,52,2,984
985,28,1,985
986,42,2,986
987,26,2,987
988,36,1,988
990,47,1,990
991,42,2,991
992,19,2,992
993,52,2,993
994,36,2,994
996,26,2,996
997,47,1,997
998,32,2,998
999,45,2,999
1001,41,1,1001
1004,31,1,1004
1005,29,2,1005
1007,20,2,1007
1009,31,1,1009
1010,25,2,1010
1011,37,2,1011
1012,48,2,1012
1013,41,1,1013
